Event ID,Event time,User name,Event name,Resource type,Resources,AWS access key,AWS region,Error code,Source IP address
"467fedac-fa41-4898-9993-d451f1a91545,""2020-08-02, 03:54:09 PM"",CloudTrail,DescribeEventAggregates,,,,us-east-1,AccessDenied,177.45.29.113"
"afdc093a-fcdb-4f32-9de9-9821b7090bc0,""2020-08-02, 03:54:06 PM"",CloudTrail,ChangePassword,,,,us-east-1,,AWS Internal"
"853d71e7-1426-4f12-b46b-9dcedc077abd,""2020-08-02, 03:53:58 PM"",CloudTrail,ConsoleLogin,,,,us-east-1,,177.45.29.113"
"71bb3532-2dfc-49c3-9c88-68f699b0092b,""2020-08-02, 03:53:48 PM"",Accountant,ConsoleLogin,,,,us-east-1,,177.45.29.113"
"7658b959-bc72-44bc-a907-51ec65044f9f,""2020-08-02, 03:53:17 PM"",Accountant,DescribeEventAggregates,,,,us-east-1,AccessDenied,177.45.29.113"
"67884979-250c-4372-955f-4c0d9ad691b3,""2020-08-02, 03:53:14 PM"",Accountant,ChangePassword,,,,us-east-1,,AWS Internal"
"a9ab50d8-cb87-48e9-b3df-d0134fed1473,""2020-08-02, 03:53:04 PM"",Accountant,ConsoleLogin,,,,us-east-1,,177.45.29.113"
"da0fadab-b22e-4dd8-a7f1-a792d25eada2,""2020-08-02, 03:52:25 PM"",root,ListPolicies,,,,us-east-1,,177.45.29.113"
"02d99624-65a2-4af0-8206-b0c7778b72a0,""2020-08-02, 03:52:24 PM"",root,CreateLoginProfile,IAM User,""[{""""resourceType"""":""""AWS::IAM::User"""",""""resourceName"""":""""Accountant""""}]"",,us-east-1,,177.45.29.113"
"9d9a1dff-2936-428e-86b2-173ec1c90fcc,""2020-08-02, 03:52:24 PM"",root,ListGroupsForUser,,,,us-east-1,,177.45.29.113"
"007a7ba6-388b-43b4-a798-f4a8d9672948,""2020-08-02, 03:52:23 PM"",root,AddUserToGroup,IAM User and 1 more,""[{""""resourceType"""":""""AWS::IAM::User"""",""""resourceName"""":""""Accountant""""},{""""resourceType"""":""""AWS::IAM::Group"""",""""resourceName"""":""""Reviewers""""}]"",,us-east-1,,177.45.29.113"
"db3b2525-737a-4f94-84be-2aa95fbcdde7,""2020-08-02, 03:52:23 PM"",root,ListUsers,,,,us-east-1,,177.45.29.113"
"e936bdf4-7685-4a16-a491-c924ffd4e5f1,""2020-08-02, 03:52:23 PM"",root,CreateUser,IAM User,""[{""""resourceType"""":""""AWS::IAM::User"""",""""resourceName"""":""""Accountant""""},{""""resourceType"""":""""AWS::IAM::User"""",""""resourceName"""":""""AIDASMKN7AQJUXXFF4DJO""""},{""""resourceType"""":""""AWS::IAM::User"""",""""resourceName"""":""""arn:aws:iam::163909141523:user/Accountant""""}]"",,us-east-1,,177.45.29.113"
"37b233d9-d6e3-4dfc-b866-23cafd9ed9dd,""2020-08-02, 03:51:58 PM"",root,ListPolicies,,,,us-east-1,,177.45.29.113"
"be381049-2646-4ab1-9e8d-2bb569dd23b6,""2020-08-02, 03:51:58 PM"",root,ListAccountAliases,,,,us-east-1,,177.45.29.113"
"77ed0510-aea9-4ea0-91dd-ba50c37bdf6f,""2020-08-02, 03:51:57 PM"",root,ListGroupsForUser,,,,us-east-1,,177.45.29.113"
"f3bf8acf-2083-449f-bd78-f169f447b419,""2020-08-02, 03:51:57 PM"",root,CreateLoginProfile,IAM User,""[{""""resourceType"""":""""AWS::IAM::User"""",""""resourceName"""":""""CloudTrail""""}]"",,us-east-1,,177.45.29.113"
"57139cd4-2eba-4c19-b22a-c15ea975a4fc,""2020-08-02, 03:51:56 PM"",root,CreateUser,IAM User,""[{""""resourceType"""":""""AWS::IAM::User"""",""""resourceName"""":""""arn:aws:iam::163909141523:user/CloudTrail""""},{""""resourceType"""":""""AWS::IAM::User"""",""""resourceName"""":""""CloudTrail""""},{""""resourceType"""":""""AWS::IAM::User"""",""""resourceName"""":""""AIDASMKN7AQJRUWVCR3O2""""}]"",,us-east-1,,177.45.29.113"
"91d375b2-a317-4fb9-8aa6-3a8be9f14a95,""2020-08-02, 03:51:56 PM"",root,ListUsers,,,,us-east-1,,177.45.29.113"
"f18dd392-1f3a-4cfb-984f-e116c1b6f615,""2020-08-02, 03:51:56 PM"",root,AddUserToGroup,IAM User and 1 more,""[{""""resourceType"""":""""AWS::IAM::User"""",""""resourceName"""":""""CloudTrail""""},{""""resourceType"""":""""AWS::IAM::Group"""",""""resourceName"""":""""CloudTrailAdmins""""}]"",,us-east-1,,177.45.29.113"
"218c9145-facd-4f2b-85cb-7abb9d04bdb8,""2020-08-02, 03:51:29 PM"",root,ListAttachedGroupPolicies,,,,us-east-1,,177.45.29.113"
"6f042aac-6177-4e6a-8b14-561e4757d423,""2020-08-02, 03:51:29 PM"",root,ListAttachedGroupPolicies,,,,us-east-1,,177.45.29.113"
"6f4f4b6b-164f-46bb-a5ad-791614622011,""2020-08-02, 03:51:29 PM"",root,ListAttachedGroupPolicies,,,,us-east-1,,177.45.29.113"
"7ca89499-e7e0-49d0-a034-b404a1e884cb,""2020-08-02, 03:51:29 PM"",root,ListAttachedGroupPolicies,,,,us-east-1,,177.45.29.113"
"d79ef1cd-2eeb-41c4-818d-6d582797de58,""2020-08-02, 03:51:29 PM"",root,ListAttachedGroupPolicies,,,,us-east-1,,177.45.29.113"
"e6de59e8-c7fe-4cd5-af7d-d02917704661,""2020-08-02, 03:51:29 PM"",root,ListAttachedGroupPolicies,,,,us-east-1,,177.45.29.113"
"5ed44b25-9f7a-4fa5-9278-2f9383885fbb,""2020-08-02, 03:51:12 PM"",root,ListPolicies,,,,us-east-1,,177.45.29.113"
"4ef42d74-0880-412c-85cb-e1726f30d25f,""2020-08-02, 03:51:06 PM"",root,ListUsers,,,,us-east-1,,177.45.29.113"
"99a58aa8-89d5-4e3a-ae3d-04c60b169188,""2020-08-02, 03:51:00 PM"",root,ListAttachedGroupPolicies,,,,us-east-1,,177.45.29.113"
"e0bdb5ab-d933-471a-bac7-77c442f5b285,""2020-08-02, 03:51:00 PM"",root,AttachGroupPolicy,IAM Policy and 1 more,""[{""""resourceType"""":""""AWS::IAM::Policy"""",""""resourceName"""":""""arn:aws:iam::aws:policy/AWSCloudTrailReadOnlyAccess""""},{""""resourceType"""":""""AWS::IAM::Group"""",""""resourceName"""":""""CloudTrailAdmins""""}]"",,us-east-1,,177.45.29.113"
"fdd2daf2-8a1a-4586-aaef-ad4c940b179a,""2020-08-02, 03:50:50 PM"",root,ListPolicies,,,,us-east-1,,177.45.29.113"
"a3406bb1-2a58-4ef1-a24a-5eac03b21c1e,""2020-08-02, 03:50:48 PM"",root,ListAttachedGroupPolicies,,,,us-east-1,,177.45.29.113"
"381f39ac-99fa-48d9-b46b-8758dfe7eab9,""2020-08-02, 03:50:46 PM"",root,ListGroups,,,,us-east-1,,177.45.29.113"
"aad7dffe-2b07-4b7b-b893-fa33adb0187a,""2020-08-02, 03:50:46 PM"",root,ListGroups,,,,us-east-1,,177.45.29.113"
"dcfb58e9-2742-4791-934c-1a27c9bd942c,""2020-08-02, 03:50:45 PM"",root,CreateGroup,IAM Group,""[{""""resourceType"""":""""AWS::IAM::Group"""",""""resourceName"""":""""arn:aws:iam::163909141523:group/Reviewers""""},{""""resourceType"""":""""AWS::IAM::Group"""",""""resourceName"""":""""Reviewers""""},{""""resourceType"""":""""AWS::IAM::Group"""",""""resourceName"""":""""AGPASMKN7AQJT2NZDOVTS""""}]"",,us-east-1,,177.45.29.113"
"f88e36b2-faf2-4a8c-8b60-30208ec31d0e,""2020-08-02, 03:50:45 PM"",root,AttachGroupPolicy,IAM Policy and 1 more,""[{""""resourceType"""":""""AWS::IAM::Policy"""",""""resourceName"""":""""arn:aws:iam::aws:policy/job-function/Billing""""},{""""resourceType"""":""""AWS::IAM::Group"""",""""resourceName"""":""""Reviewers""""}]"",,us-east-1,,177.45.29.113"
"d62e39f7-37ef-4ac6-9577-b747ecf3fcaa,""2020-08-02, 03:50:34 PM"",root,ListPolicies,,,,us-east-1,,177.45.29.113"
"1bd79b2e-c788-4cf9-b526-1eb9b2f76184,""2020-08-02, 03:50:26 PM"",root,ListGroups,,,,us-east-1,,177.45.29.113"
"f48af621-952d-4479-a18e-f3c60aa2e423,""2020-08-02, 03:50:26 PM"",root,ListGroups,,,,us-east-1,,177.45.29.113"
"0de55d04-e812-418b-8467-2491680640d5,""2020-08-02, 03:50:25 PM"",root,CreateGroup,IAM Group,""[{""""resourceType"""":""""AWS::IAM::Group"""",""""resourceName"""":""""CloudTrailAdmins""""},{""""resourceType"""":""""AWS::IAM::Group"""",""""resourceName"""":""""arn:aws:iam::163909141523:group/CloudTrailAdmins""""},{""""resourceType"""":""""AWS::IAM::Group"""",""""resourceName"""":""""AGPASMKN7AQJX2YCO4K5C""""}]"",,us-east-1,,177.45.29.113"
"da8f27a2-b8af-405e-8a74-f451195f4a24,""2020-08-02, 03:50:25 PM"",root,AttachGroupPolicy,IAM Policy and 1 more,""[{""""resourceType"""":""""AWS::IAM::Policy"""",""""resourceName"""":""""arn:aws:iam::aws:policy/AWSCloudTrailFullAccess""""},{""""resourceType"""":""""AWS::IAM::Group"""",""""resourceName"""":""""CloudTrailAdmins""""}]"",,us-east-1,,177.45.29.113"
"7b30e4fe-127d-4a51-9bd0-1849d2a4c738,""2020-08-02, 03:50:13 PM"",root,ListPolicies,,,,us-east-1,,177.45.29.113"
"a5e75ab2-11a5-434e-8f01-f4127f758acf,""2020-08-02, 03:49:59 PM"",root,ListGroups,,,,us-east-1,,177.45.29.113"
"c7b212fb-3063-409e-a151-a94164ca17dd,""2020-08-02, 03:49:59 PM"",root,ListGroups,,,,us-east-1,,177.45.29.113"
"61978631-ef9d-40c9-b3d6-568e4d34c946,""2020-08-02, 03:49:56 PM"",root,UpdateAccountPasswordPolicy,,,,us-east-1,,177.45.29.113"
"ad2a44f1-f77a-4e3d-9b62-61c19e5a05a4,""2020-08-02, 03:49:56 PM"",root,GetAccountPasswordPolicy,,,,us-east-1,,177.45.29.113"
"11cfbf82-beaa-43b7-aeda-110d219ff899,""2020-08-02, 03:48:52 PM"",root,ListGroups,,,,us-east-1,,177.45.29.113"
"35be90c2-bf71-4bc1-a333-ed73b33186e1,""2020-08-02, 03:48:52 PM"",root,ListAccessKeys,,,,us-east-1,,177.45.29.113"
"0849b987-e6bd-48fe-8f71-c4161f49a9e2,""2020-08-02, 03:48:51 PM"",root,GetAccountSummary,,,,us-east-1,,177.45.29.113"
"68891907-82eb-4a1d-8a69-07985cd5e3ce,""2020-08-02, 03:48:51 PM"",root,ListAccountAliases,,,,us-east-1,,177.45.29.113"
"991fc63e-fe20-41e5-98a6-472426c92423,""2020-08-02, 03:48:51 PM"",root,GetAccountPasswordPolicy,,,,us-east-1,,177.45.29.113"
"b7cbb8bb-389c-44b9-a62a-16992200be13,""2020-08-02, 03:48:51 PM"",root,GetAccountPasswordPolicy,,,,us-east-1,,177.45.29.113"
